Latitude,Longitude
46.8159538,-119.359637
46.8146455,-119.3566066
46.8136483,-119.3542924
46.8131138,-119.3530508
46.8129114,-119.3525728
46.8122319,-119.3509682
46.8108793,-119.3469196
46.8104246,-119.3448352
46.809888,-119.3365628
46.8098457,-119.3302316
46.8098404,-119.3291841
46.8098404,-119.3291818
46.8098351,-119.3281355
46.8098351,-119.3281396
46.8098297,-119.3270869
46.8098297,-119.3270869
46.8098297,-119.3270869
46.8098304,-119.3266647
46.8099045,-119.3237146
46.8102415,-119.3155176
46.8103818,-119.3123663
46.8104694,-119.3102654
46.8105044,-119.3094251
46.8105217,-119.3087205
46.8105372,-119.3085801
46.8105519,-119.3033202
46.8105495,-119.3028991
46.810476,-119.2923491
46.810476,-119.2923491
46.810395,-119.2808554
46.8103902,-119.2797137
46.8103703,-119.2767729
46.8102944,-119.2656086
46.8102682,-119.2624489
46.8102575,-119.2611737
46.8102575,-119.2611737
46.8102242,-119.2563347
46.8102105,-119.2546481
46.8108276,-119.2461153
46.8108291,-119.2461085
46.8112706,-119.2441029
46.8121567,-119.24009
46.8134857,-119.2340741
46.8134857,-119.2340741
46.8134878,-119.2340644
46.8134697,-119.2340524
46.8138383,-119.2324775
46.8139286,-119.2320687
46.8141032,-119.2312653
46.8143373,-119.2300519
46.8143379,-119.2300486
46.8145156,-119.228814
46.8147494,-119.2263057
46.8147884,-119.2246698
46.8141989,-119.2183857
46.8141989,-119.2183857
46.8141989,-119.2183857
46.8141989,-119.2183857
46.8141989,-119.2183857
46.8141989,-119.2183857
46.8141989,-119.2183857
46.8142069,-119.2183678
46.8137768,-119.2165691
46.8130255,-119.2138416
46.8124562,-119.2118547
46.812475,-119.2119136
46.8124132,-119.2116958
46.8124132,-119.2116958
46.8118898,-119.2097187
46.8116022,-119.208062
46.8115701,-119.2078687
46.8115425,-119.2076595
46.8115288,-119.2075549
46.8115316,-119.2075513
46.8113922,-119.2055668
46.811409,-119.1996476
46.8114299,-119.1980863
46.8114158,-119.1979569
46.8114175,-119.1975228
46.8114175,-119.1975337
46.8114175,-119.1975337
46.8114175,-119.1975337
46.8114175,-119.1975337
46.8114175,-119.1975337
46.8114177,-119.1974795
46.8114175,-119.1975337
46.8114175,-119.1975337
46.8114175,-119.1975337
46.8114175,-119.1975337
46.8114175,-119.1975337
46.8114175,-119.1975337
46.8114178,-119.1975392
46.8114175,-119.1975337
46.8114217,-119.1975105
46.8114189,-119.1970917
46.811419,-119.1970614
46.8114217,-119.1962522
46.8114231,-119.195825
46.8114335,-119.1930436
46.8114419,-119.1911083
46.8114425,-119.1908973
46.8114461,-119.1896746
46.8114465,-119.189515
46.8114489,-119.1889768
46.8114503,-119.188771
46.811457,-119.1885901
46.8114517,-119.1885628
46.811453,-119.1883647
46.8114523,-119.1884627
46.8114544,-119.1881607
46.8114544,-119.1881607
46.8116169,-119.1427012
46.811643,-119.1363178
46.8116627,-119.1335261
46.8116459,-119.1335629
46.8116627,-119.1335261
46.8116648,-119.1330245
46.8116148,-119.1318416
46.8098654,-119.1194503
46.8090586,-119.1138798
46.8088809,-119.1126531
46.8088811,-119.1126749
46.808883,-119.1126673
46.8088476,-119.1124232
46.8088535,-119.112412
46.8078303,-119.1054216
46.8075357,-119.1033579
46.8071773,-119.1008823
46.8071773,-119.1008823
46.8062811,-119.0946933
46.8044752,-119.0823143
46.8016442,-119.0627057
46.8013438,-119.0606334
46.8003743,-119.0538895
46.7995428,-119.0482056
