,X,Y
891,2180452.43,530258.15
892,2180479.18,530250.6
896,2180554.45,530231.38
898,2180962.69,530124.55
900,2181473.59,529993.85
901,2182494.2,529722.98
902,2182493.03,529723.29
904,2182746.29,529650.46
905,2182796.5,529634.42
906,2182904.07,529587.46
907,2182988.81,529551.39
909,2182988.81,529551.39
910,2183088.069,529500.8420000001
911,2183135.23,529472.99
912,2183819.53,528904.74
915,2184565.38,528239.46
916,2184565.377,528239.463
917,2184565.38,528239.46
920,2184953.58,527915.35
921,2185018.298,527876.251
922,2185154.93,527794.12
924,2185340.27,527696.19
925,2185340.7180000003,527695.9720000001
927,2186404.28,527414.32
928,2186560.6569999997,527408.061
931,2186981.59,527397.71
932,2187035.91,527396.47
934,2192117.11,526968.05
935,2194350.27,526629.35
936,2194437.917,526595.927
937,2194903.22,526342.56
939,2195253.42,526018.53
943,2195817.48,525188.16
946,2196379.35,524741.97
948,2197780.69,524613.12
950,2200286.664,524551.956
951,2200378.46,524531.22
952,2200441.51,524516.97
953,2200958.02,524400.556
954,2201472.74,524284.63
955,2201987.477,524168.706
956,2201987.477,524168.706
957,2202450.732,524064.374
958,2203273.4,523879.1
960,2204457.9080000003,523613.166
961,2204449.21,523615.12
962,2204509.37,523601.62
963,2204612.28,523578.54799999995
964,2205119.18,523464.88
966,2206001.623,523266.98799999995
967,2206155.995,523232.37
968,2206465.02,523163.20700000005
969,2206517.65,523151.53
971,2206970.81,523047.84
973,2206982.15,523048.48
974,2207180.82,523003.11
975,2207393.02,522947.06899999996
976,2207754.05,522811.83
977,2207834.605,522786.12100000004
978,2208074.504,522672.614
979,2208168.035,522623.357
981,2208305.85,522544.25
982,2208534.5,522412.99
984,2208898.55,522200.9
985,2208992.867,522145.435
986,2209369.4,521947.76
988,2209461.53,521909.33
989,2209456.41,521907.68
990,2209511.63,521892.74
993,2209766.46,521825.14
994,2209869.409,521809.755
995,2209971.28,521796.71
997,2211685.03,522088.01
999,2214569.19,522737.39
1001,2214620.89,522749.124
1002,2214626.05,522750.3
1003,2214620.89,522749.124
1004,2214620.67,522749.07
1007,2215134.08,522870.58
1008,2215622.46,523086.0
1009,2216350.01,523716.72
1010,2216638.53,524125.58
1011,2216704.46,524210.95
1013,2217034.156,524548.376
1014,2217034.15,524548.37
1015,2217075.414,524580.239
1016,2217203.76,524674.696
1018,2217506.174,524865.7779999999
1019,2217518.54,524873.3
1021,2218826.46,525667.38
1022,2218824.1890000002,525666.0229999999
1023,2218869.079,525692.931
1024,2218869.079,525692.931
1026,2218914.41,525720.11
1027,2219327.86,525953.43
1029,2221268.71,526781.1
1030,2221267.471,526780.669
1031,2221267.48,526780.67
1034,2221765.93,526951.9739999999
1035,2222264.977,527123.3520000001
1036,2223232.13,527538.24
1037,2223220.06,527524.8
1038,2223408.305,527651.547
1040,2223939.232,528084.375
1041,2224154.18,528319.61
1042,2224653.71,529063.41
1044,2224957.65,529557.55
1045,2225112.52,529784.9
1048,2226833.832,531310.2
1049,2227083.59,531504.51
1051,2227672.48,531949.88
1053,2228359.76,532339.41
1056,2228590.733,532436.856
1057,2228879.4,532535.29
1058,2228952.099,532557.337
1059,2229104.622,532600.051
1060,2229104.64,532600.05
1061,2229261.016,532636.589
1064,2230198.9359999998,532729.693
1065,2230452.16,532721.95
1067,2231973.53,532350.4
1068,2231964.74,532354.0
1070,2232112.66,532293.35
1071,2232211.284,532252.906
1072,2232211.284,532252.906
1073,2232211.284,532252.906
1074,2232211.29,532252.9
1076,2233023.805,532033.389
1077,2232456.068,532162.202
1078,2232456.068,532162.202
1079,2232655.684,532102.298
1080,2232655.68,532102.3
1081,2232712.32,532089.914
1083,2232867.11,532056.46
1085,2232971.492,532041.0920000001
1086,2233034.26,532031.85
1087,2233235.02,532013.87
1089,2234732.049,532268.334
1090,2234791.713,532291.0229999999
1091,2235274.91,532474.14
1092,2235423.8,532530.567
1093,2235769.473,532661.568
1095,2237253.8,533223.96
1096,2237251.6,533223.1
1097,2237499.74,533320.128
1098,2237985.86,533519.41
1099,2238082.394,533560.378
1102,2238228.83,533622.52
1103,2238708.24,533825.97
1104,2238709.989,533826.715
1105,2239190.01,534030.43
1107,2239434.136,534134.0260000001
1108,2239675.519,534236.463
1109,2240167.9390000002,534445.435
1111,2241100.88,534897.49
1112,2241100.88,534897.49
1113,2241483.46,535253.79
1114,2241483.445,535253.7779999999
1116,2241550.335,535334.793
1117,2242510.04,536444.92
1118,2242858.971,536678.35
1119,2243096.649,536787.0079999999
1120,2243554.16,536896.73
1121,2244485.0,536788.299
1122,2244975.85,536607.49
1123,2245467.92,536425.76
1125,2246458.2369999997,536060.899
1126,2246459.01,536060.62
1128,2246957.001,535883.2420000001
1131,2248013.2709999997,535820.886
1132,2249072.2709999997,535868.58
1133,2249071.06,535868.53
1134,2249601.7709999997,535892.428
1136,2250131.2709999997,535916.275
1138,2250655.21,535939.87
1139,2250926.47,535937.79
1140,2251073.98,535931.97
1141,2251137.98,535928.67
1143,2252505.16,535747.06
1144,2252768.15,535712.37
1146,2252770.525,535712.059
1147,2253819.06,535566.84
1149,2254237.33,535489.66
1150,2254339.76,535466.7
1152,2255446.13,535094.48
1153,2255744.091,534983.46
1154,2255942.45,534909.55
1155,2019347.29,642223.28
1156,2019548.86,642239.33
1157,2020396.97,642206.65
1158,2020395.198,642206.561
1159,2023562.53,642238.11
1160,2023774.72,642230.89
1161,2023803.87,642229.61
1162,2024618.35,642206.64
1163,2024615.85,642428.46
1165,2024774.62,642209.19
1166,2025083.28,642442.213
1167,2025132.88,642444.7
1171,2027214.989,642781.1529999999
1172,2028775.92,643101.39
1173,2029800.438,643311.582
1174,2029812.15,643316.11
1175,2029807.62,643313.06
1177,2030350.5,643120.3
1181,2031875.28,643662.36
1182,2033696.96,643535.92
1183,2034066.5,643541.74
1184,2034561.53,643701.55
1185,2035080.82,643548.34
1186,2035080.82,643548.34
1187,2035611.06,643720.63
1188,2035587.572,643719.447
1189,2037182.74,643793.53
1191,2037696.89,643818.71
1192,2038136.99,643837.554
1196,2039464.48,643586.35
1198,2039731.3080000002,643867.753
1199,2040374.86,643848.5
1201,2040362.99,643591.64
1202,2040395.02,643592.29
1205,2042083.9440000001,643606.186
1206,2042504.4840000002,643781.947
1207,2042506.071,643609.73
1208,2042610.9919999999,643611.06
1209,2042874.5780000002,643613.3960000001
1210,2042980.15,643614.22
1212,2043508.08,643618.33
1214,2043640.5080000001,643619.57
1215,2043793.542,643775.485
1216,2044003.6619999998,643777.371
1218,2044663.61,643785.41
1219,2045203.26,643789.99
1221,2046159.326,643641.285
1223,2046676.015,643801.578
1226,2047734.84,643654.38
1227,2047893.63,643811.4
1229,2048776.29,643821.63
1230,2049293.0,643803.05
1232,2049801.42,643764.56
1233,2049812.3869999999,643613.052
1234,2049812.27,643613.06
1237,2050958.42,643539.63
1238,2051335.04,643658.33
1239,2051692.471,643485.9839999999
1240,2051902.67,643472.95
1241,2052557.128,643587.579
1243,2052452.3630000001,643593.067
1244,2052427.66,643440.92
1245,2052454.63,643437.72
1246,2052526.342,643434.9010000001
1248,2052557.128,643587.579
1250,2052602.79,643432.84
1251,2052609.9,643584.81
1254,2053478.59,643412.84
1255,2053479.8,643578.52
