CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
2015013296,E417362,099,6.28,99,47.7585398671,-122.2518797648,4,17,5,1.0,3.0,01,U,2,7,2,,S,Y,C,U,A,W,17.0,53.0,443.0,099,60.0,6.21,6.28,0,0,22,4,0,13,50,26678.0,0.68,0.0,+,1.72
2015013297,E417363,161,35.75,161,47.410964749099996,-122.2206620274,4,18,6,1.0,1.0,01,U,1,1,2,C,,,C,U,A,W,17.0,53.0,443.0,161,,35.69,35.75,10,0,0,4,0,17,66,30186.0,0.66,2.0,-,0.75
2015013298,E417360,099,6.03,99,47.3300685865,-122.15817685200001,4,18,6,1.0,1.0,01,U,1,1,2,,S,Y,C,U,A,W,17.0,53.0,443.0,099,60.0,6.03,6.04,0,0,22,4,0,13,50,26678.0,0.1,0.0,+,0.2
2015013299,3397590,515,3.27,515,47.610195312200005,-122.1886201761,4,2,4,1.0,1.0,01,U,1,1,2,C,,Y,C,U,A,W,17.0,54.0,615.0,515,,3.23,3.28,0,0,0,4,0,15,59,29812.0,0.54,0.0,+,3.02
201501330,E392389,522,7.110000000000001,522,47.5793113024,-122.17493335649999,1,13,2,1.0,4.0,01,U,1,1,2,C,,Y,C,U,A,W,17.0,53.0,609.0,522,35.0,7.110000000000001,7.139999999999999,0,0,0,4,0,12,48,55004.0,0.6,0.0,-,1.0
2015013300,E417248,167,23.64,167,47.5794642865,-122.1477632391,4,17,5,1.0,1.0,01,U,2,7,1,,A,,A,U,A,W,17.0,52.0,615.0,167,60.0,23.52,23.71,10,0,18,4,10,12,46,122398.0,8.49,0.0,-,0.28
2015013301,E417294,018,9.269999999999998,18,47.636124697700005,-122.1865351752,4,18,6,1.0,6.0,01,U,1,1,1,A,S,Y,A,U,A,W,17.0,52.0,,018,60.0,9.25,9.33,5,4,40,4,10,12,48,55378.0,1.6200000000000003,2.0,-,0.63
2015013302,E417287,405,13.31,405,47.6375018318,-122.2406210299,4,17,5,1.0,1.0,01,U,1,1,3,,P,,A,U,P,W,17.0,51.0,75.0,405,60.0,13.27,13.34,23,0,10,6,10,12,69,192400.0,4.92,1.55,-,2.2
2015013304,E417289,090,9.24,90,47.500564365699994,-122.1234032904,4,18,6,1.0,1.0,01,U,2,7,3,A,S,,A,U,A,W,17.0,51.0,75.0,090,60.0,9.21,9.29,0,10,60,6,16,12,72,146408.0,4.280000000000001,0.0,+,4.0
2015013305,E417438,405,15.11,405,47.4832353193,-122.1976849117,4,12,7,1.0,4.0,02,U,1,1,2,P,S,,P,U,P,W,17.0,51.0,75.0,405,60.0,15.09,15.15,23,8,40,6,10,12,72,129991.0,2.85,1.56,+,3.65
2015013306,E417364,520,3.98,520,47.469145085600005,-122.2178733411,4,18,6,1.0,1.0,01,U,2,7,2,,A,Y,A,U,A,W,17.0,52.0,760.0,520,60.0,3.98,4.08,0,0,4,4,10,12,48,67592.0,2.47,1.79,+,2.6
2015013307,E417365,090RL090EXP,5.15,90,47.4706500706,-122.2178470768,4,18,6,1.0,1.0,01,U,1,1,2,P,,,P,U,P,W,17.0,51.0,763.0,090RL090EXP,,5.12,5.46,34,8,0,2,8,12,24,11986.0,1.49,0.72,+,0.53
