,CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
7673,201408398,E312365,005,140.74,5,47.712980084099996,-122.56727527299999,3,6,4,2.0,1.0,03,U,1,1,2,A,S,Y,A,U,P,W,17.0,51.0,443.0,005,60.0,140.44,141.14,30,10,84,8,10,12,96,185881.0,47.49,0.5,+,1.4
7674,201408399,E312262,018,1.4,18,47.569592694200004,-122.6851378394,3,6,4,2.0,1.0,03,U,1,1,2,,A,,A,U,A,W,17.0,52.0,443.0,018,60.0,1.3,1.41,5,0,15,4,10,12,48,57409.0,2.3000000000000003,0.0,+,2.98
7675,201408400,E312357,405,24.95,405,47.6015895302,-122.6292174302,3,5,3,2.0,5.0,03,U,2,6,2,,A,Y,A,U,A,W,17.0,51.0,110.0,405,60.0,24.90000000000001,24.98,23,0,16,5,12,12,60,127308.0,3.72,1.79,+,2.88
7676,201408402,E315202,167,13.68,167,47.6368384899,-122.62890735170001,3,7,5,1.0,1.0,01,U,2,7,2,,A,,A,U,A,W,17.0,52.0,20.0,167,60.0,13.64,13.870000000000005,5,0,16,4,10,12,48,85195.0,7.15,1.51,-,0.58
7677,201408403,E312292,167,18.07,167,47.5655289865,-122.65328231870001,3,5,3,2.0,4.0,03,U,2,7,2,A,S,Y,A,U,A,W,17.0,52.0,55.0,167,60.0,17.6,18.29,10,10,44,5,10,12,60,115516.0,29.09,0.0,-,0.04
7679,201408404,E312104,167,15.58,167,47.6229640751,-122.7114001768,3,5,3,2.0,4.0,03,U,2,7,3,A,S,Y,A,U,A,W,17.0,52.0,55.0,167,60.0,15.45,15.6,5,4,88,4,10,12,48,79878.0,4.37,0.0,+,1.42
7680,201408405,3501204,203,12.67,203,47.527575488800004,-122.7000071745,3,5,3,1.0,1.0,01,R,2,6,3,C,,,C,R,A,W,17.0,44.0,,203,,12.66,12.67,10,0,0,4,0,12,48,8963.0,0.03,0.0,-,0.27
7681,201408406,3431008,016,17.539999999999996,16,47.5682071699,-122.6720704834,3,4,2,2.0,6.0,03,R,2,6,1,A,S,Y,A,R,A,W,18.0,42.0,,016,60.0,16.97,17.55,0,4,80,4,10,12,48,46726.0,9.89,0.95,-,0.35
7682,201408407,E312615,305,6.980000000000001,305,47.5047848594,-122.61008070780001,3,7,5,1.0,1.0,01,U,1,1,2,C,,,C,U,P,W,18.0,53.0,,305,,6.8,7.03,0,0,0,2,0,13,26,20653.0,1.73,0.0,-,1.0
7683,201408409,E314238,303,2.54,303,47.52270643560001,-122.6607047308,3,7,5,1.0,1.0,01,U,1,1,2,C,,Y,C,U,A,W,18.0,53.0,115.0,303,55.0,2.53,2.59,2,0,0,4,0,11,42,32141.0,0.7000000000000002,0.0,-,4.759999999999999
7684,201408410,E313562,003,33.97,3,47.504918771999996,-122.6348953006,3,7,5,1.0,6.0,01,U,1,1,1,A,,,A,U,A,W,18.0,53.0,,003,40.0,33.9,33.97,0,4,0,2,6,11,22,19421.0,0.5,0.0,-,4.65
7685,201408411,E313563,303,4.98,303,47.5382569325,-122.6447234906,3,6,4,1.0,4.0,01,U,2,6,2,A,,Y,A,U,A,W,18.0,53.0,,303,55.0,4.91,5.16,2,8,0,4,8,11,45,33474.0,3.0500000000000007,0.0,+,0.0
7686,201408412,E312394,304,1.66,304,47.7572228541,-122.6524148298,3,6,4,1.0,4.0,01,U,1,1,2,C,,Y,C,U,A,W,18.0,53.0,115.0,304,,1.65,1.66,10,0,0,3,0,20,59,26770.0,0.1,0.0,-,0.37
7687,201408413,E312582,003,42.45,3,47.3127811221,-121.3140815715,3,5,3,2.0,6.0,03,U,1,1,1,A,S,,A,U,A,W,18.0,52.0,,003,60.0,42.28,42.88,0,4,50,4,10,12,48,55996.0,12.26,0.0,+,0.4699999999999999
7688,201408414,3431039,003,34.49000000000001,3,47.300891918699996,-121.2959762043,3,6,4,2.0,4.0,03,U,1,1,2,W,O,Y,W,U,P,W,18.0,52.0,,003,40.0,34.48000000000001,34.53,0,0,6,4,0,14,55,15007.0,0.27,2.86,-,1.12
7689,201408415,E312098,310,0.5899999999999999,310,45.6610990037,-120.92745521360001,3,5,3,2.0,1.0,03,U,1,1,2,C,,Y,C,U,A,W,18.0,53.0,115.0,310,,0.54,0.6,0,0,0,4,0,21,82,29908.0,0.65,0.0,,0.0
