CASENO,DRV_SEX,DRV_AGE,drassess,spdlimit,surf_typ,contrib1,contrib2,intox,stolen,vehcond1,vehcond2,vehcond3,com_body,cdplaccd,vehno
201400046,,,,,2.0,0,0,,,0,0,0,,,2
201400047,1.0,53.0,,35.0,2.0,11,16,4.0,,1,0,0,5.0,F,1
201400047,2.0,47.0,,35.0,2.0,18,0,4.0,,12,0,0,,,2
201400047,,,,,,0,0,,,0,0,0,,,3
201400048,1.0,42.0,,70.0,1.0,4,52,4.0,,12,0,0,,,1
201400049,1.0,51.0,,55.0,1.0,23,0,4.0,,12,0,0,,,1
201400049,1.0,30.0,,55.0,1.0,18,0,4.0,,12,0,0,,,2
201400050,1.0,41.0,,60.0,2.0,18,0,4.0,,12,0,0,,,1
201400051,1.0,39.0,,30.0,2.0,1,4,1.0,,12,0,0,,,1
201400053,1.0,64.0,,60.0,2.0,48,7,4.0,,12,0,0,1.0,F,1
201400053,2.0,45.0,,60.0,2.0,18,0,4.0,,12,0,0,,,2
201400053,2.0,28.0,,,2.0,18,0,4.0,,12,0,0,,,3
201400054,1.0,44.0,,,2.0,10,0,4.0,,12,0,0,,,1
201400054,1.0,39.0,,,2.0,18,0,4.0,,12,0,0,,,2
201400055,2.0,49.0,,70.0,2.0,18,0,4.0,,12,0,0,,,1
201400055,1.0,36.0,,70.0,2.0,16,0,4.0,,11,0,0,4.0,F,2
201400056,1.0,43.0,,60.0,2.0,18,0,4.0,,12,0,0,,,1
201400057,1.0,49.0,,60.0,1.0,18,0,4.0,,12,0,0,2.0,F,1
201400057,2.0,47.0,,60.0,2.0,18,0,4.0,,12,0,0,,,2
201400058,1.0,55.0,,60.0,1.0,5,0,4.0,,12,0,0,,,1
201400058,1.0,27.0,,60.0,1.0,18,0,4.0,,12,0,0,3.0,F,2
201400059,1.0,62.0,,40.0,2.0,23,0,9.0,,12,0,0,,,1
201400060,1.0,59.0,,,1.0,6,0,4.0,,12,0,0,,,1
201400060,1.0,45.0,,,1.0,18,0,4.0,,12,0,0,,,2
201400061,1.0,41.0,,35.0,2.0,10,0,4.0,,12,0,0,9.0,F,1
201400061,,,,,,0,0,,,0,0,0,,,2
201400062,1.0,39.0,,60.0,2.0,5,0,4.0,,12,0,0,2.0,F,1
201400062,1.0,31.0,,60.0,2.0,18,0,4.0,,12,0,0,,,2
201400063,1.0,43.0,,60.0,1.0,23,5,4.0,,12,0,0,2.0,F,1
201400063,2.0,54.0,,60.0,1.0,52,0,4.0,,12,0,0,,,2
201400063,,,,,,0,0,,,0,0,0,,,3
201400064,1.0,65.0,,60.0,2.0,18,0,4.0,,12,0,0,9.0,F,1
201400066,,,,25.0,2.0,12,0,9.0,,12,0,0,,,1
201400066,1.0,61.0,,45.0,2.0,52,0,4.0,,12,0,0,2.0,,2
201400067,1.0,38.0,,60.0,2.0,23,4,9.0,,12,0,0,,,1
201400067,1.0,54.0,,60.0,2.0,18,0,9.0,,12,0,0,,,2
201400067,,,,,,0,0,,,0,0,0,,,3
201400068,1.0,46.0,,60.0,2.0,18,0,4.0,,12,0,0,,,1
201400068,1.0,43.0,,60.0,2.0,18,0,4.0,,12,0,0,,,2
201400069,1.0,32.0,,60.0,2.0,18,0,4.0,,12,0,0,2.0,F,1
201400070,1.0,20.0,,45.0,1.0,3,4,4.0,,12,0,0,,,1
201400070,1.0,37.0,,45.0,1.0,18,0,4.0,,12,0,0,2.0,,2
201400071,1.0,71.0,,50.0,2.0,51,0,9.0,,12,0,0,,,1
201400072,1.0,52.0,,55.0,6.0,4,8,4.0,,12,0,0,2.0,F,1
201400072,,,,,,0,0,,,0,0,0,,,2
201400073,1.0,44.0,,40.0,2.0,18,0,4.0,,12,0,0,2.0,,1
201400074,2.0,79.0,,55.0,2.0,4,0,4.0,,12,0,0,,,1
201400074,,,,,,0,0,,,0,0,0,,,2
201400074,,,,,,0,0,,,0,0,0,,,3
201400075,2.0,33.0,,60.0,2.0,18,0,4.0,,12,0,0,,,1
201400076,1.0,54.0,,65.0,2.0,18,0,4.0,,12,0,0,2.0,,1
