CASENO,SEATPOS,VEHNO
2016003545,3,2
2016003552,6,2
2016003552,9,2
2016003555,3,2
2016003555,7,2
2016003564,6,1
2016003565,3,2
2016003565,6,2
2016003566,3,3
2016003566,6,3
2016003567,3,2
2016003572,8,2
2016003573,4,2
2016003573,3,3
2016003575,7,1
2016003577,3,2
2016003579,3,2
2016003583,3,2
2016003583,7,2
2016003583,9,2
2016003584,3,1
2016003584,4,1
2016003584,6,1
2016003584,9,2
2016003590,3,2
2016003598,9,1
2016003598,3,2
2016003600,4,1
2016003600,3,2
2016003600,6,2
2016003608,3,2
2016003613,7,2
2016003615,3,2
2016003616,3,1
2016003616,3,2
2016003617,3,2
2016003629,3,2
2016003629,9,2
2016003630,9,1
2016003632,3,2
2016003632,3,3
2016003634,3,2
2016003636,3,3
2016003638,9,1
2016003639,3,2
2016003643,4,1
2016003644,3,2
2016003645,9,2
2016003648,3,2
2016003648,7,2
2016003648,8,2
2016003648,9,2
2016003650,3,2
2016003656,3,2
2016003656,7,2
2016003656,9,2
2016003662,3,2
2016003662,7,2
2016003667,9,1
2016003668,7,1
2016003668,9,2
2016003668,3,3
2016003669,9,1
2016003669,3,2
2016003672,3,2
2016003673,3,3
2016003680,3,2
2016003680,9,2
2016003683,3,3
2016003684,3,1
2016003690,3,2
2016003696,3,2
2016003700,7,1
2016003702,3,1
2016003702,7,1
2016003704,3,3
2016003713,3,2
2016003713,7,2
2016003713,9,2
2016003715,3,2
2016003716,3,2
2016003718,9,2
2016003720,3,2
2016003720,7,2
2016003720,9,2
2016003722,5,1
2016003722,6,1
2016003722,3,3
2016003724,3,2
2016003724,3,3
2016003724,9,3
2016003725,3,2
2016003725,4,2
2016003725,5,2
2016003725,6,2
2016003728,9,2
2016003741,3,2
2016003741,7,2
2016003741,9,2
2016003741,3,3
2016003741,7,3
2016003744,3,3
2016003746,3,2
2016003746,7,2
2016003746,9,2
2016003747,3,3
2016003748,3,2
2016003748,6,2
2016003750,7,2
2016003750,8,2
2016003750,9,2
2016003757,3,2
2016003758,3,2
2016003762,3,2
2016003763,3,2
2016003764,3,2
2016003765,3,2
2016003767,9,2
2016003768,3,2
2016003778,2,1
2016003778,3,2
2016003779,3,2
2016003779,5,2
2016003780,3,2
2016003784,3,2
2016003784,7,2
2016003784,9,2
2016003785,3,2
2016003785,9,2
2016003785,3,3
2016003787,3,1
2016003787,7,1
2016003787,8,1
2016003790,3,2
2016003794,3,2
2016003800,3,2
2016003800,9,2
2016003805,3,2
2016003812,7,1
2016003812,8,1
2016003812,3,2
2016003815,3,2
2016003842,3,2
2016003842,9,2
2016003843,3,2
2016003859,3,2
2016003860,3,2
2016003862,5,3
2016003865,3,2
2016003873,4,2
2016003878,3,2
2016003878,4,2
2016003878,6,2
2016003881,3,2
2016003888,3,2
2016003891,3,2
2016003892,3,2
2016003892,9,2
2016003893,3,2
2016003901,3,2
2016003901,9,2
2016003902,3,1
2016003902,8,1
2016003906,3,2
2016003913,9,1
2016003919,6,1
2016003920,7,1
2016003920,9,1
2016003921,3,2
2016003921,7,2
2016003921,8,2
2016003921,9,2
2016003923,3,2
2016003923,9,2
2016003927,3,2
2016003932,3,2
2016003933,10,2
2016003936,4,2
2016003936,6,2
2016003944,3,2
2016003944,9,2
2016003946,7,2
2016003946,9,2
2016003951,7,1
2016003951,9,1
2016003963,3,2
2016003965,7,2
